TIPO DE VICTIMA,DANE UBICACION,DEPARTAMENTO UBICACION,MUNICIPIO UBICACION,CICLO VITAL,DISCAPACIDAD,ETNIA,GENERO,PERSONAS
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Indigena,Hombre,3
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,ND,Sin discapacidad,Gitano(a) ROM,Hombre,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 12 y 17,Sin discapacidad,Gitano(a) ROM,Hombre,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Gitano(a) ROM,Hombre,4
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Gitano(a) ROM,Hombre,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 61 y 100,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 12 y 17,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,4
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,9
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Con discapacidad,Ninguna,No Informa,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,ND,Sin discapacidad,Ninguna,No Informa,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Ninguna,No Informa,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Ninguna,No Informa,4
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Ninguna,LGBTI,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Ninguna,LGBTI,3
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Sin discapacidad,Ninguna,LGBTI,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Ninguna,LGBTI,2
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Ninguna,LGBTI,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Ninguna,LGBTI,6
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Ninguna,LGBTI,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Con discapacidad,Ninguna,Mujer,17
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Con discapacidad,Ninguna,Mujer,12
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Con discapacidad,Ninguna,Mujer,53
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Con discapacidad,Ninguna,Mujer,61
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Con discapacidad,Ninguna,Mujer,143
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Ninguna,Mujer,665
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Con discapacidad,Ninguna,Mujer,466
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Ninguna,Mujer,"5,070"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Sin discapacidad,Ninguna,Mujer,"2,282"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Ninguna,Mujer,"4,464"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Ninguna,Mujer,"4,926"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Ninguna,Mujer,"9,444"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Ninguna,Mujer,"19,113"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Ninguna,Mujer,"4,141"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Con discapacidad,Indigena,Mujer,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Con discapacidad,Indigena,Mujer,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Con discapacidad,Indigena,Mujer,7
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Indigena,Mujer,23
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Con discapacidad,Indigena,Mujer,19
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Indigena,Mujer,26
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Sin discapacidad,Indigena,Mujer,8
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Indigena,Mujer,77
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Indigena,Mujer,138
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Indigena,Mujer,370
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Indigena,Mujer,662
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Indigena,Mujer,118
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Palenquero,Mujer,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Palenquero,Mujer,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Palenquero,Mujer,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Gitano(a) ROM,Mujer,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Gitano(a) ROM,Mujer,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Gitano(a) ROM,Mujer,5
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Gitano(a) ROM,Mujer,18
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Gitano(a) ROM,Mujer,20
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Gitano(a) ROM,Mujer,55
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Gitano(a) ROM,Mujer,9
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Con discapacidad,Negro(a) o Afrocolombiano(a),Mujer,10
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Con discapacidad,Negro(a) o Afrocolombiano(a),Mujer,14
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Con discapacidad,Negro(a) o Afrocolombiano(a),Mujer,25
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Con discapacidad,Negro(a) o Afrocolombiano(a),Mujer,46
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Con discapacidad,Negro(a) o Afrocolombiano(a),Mujer,86
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Negro(a) o Afrocolombiano(a),Mujer,422
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Con discapacidad,Negro(a) o Afrocolombiano(a),Mujer,274
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,305
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,421
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,"2,095"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,"2,751"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,"4,832"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,"7,981"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,"1,452"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,2
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,37
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,5
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,9
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,15
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,61
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,20
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Con discapacidad,Ninguna,Hombre,34
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Con discapacidad,Ninguna,Hombre,11
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Con discapacidad,Ninguna,Hombre,42
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Con discapacidad,Ninguna,Hombre,82
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Con discapacidad,Ninguna,Hombre,212
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Ninguna,Hombre,776
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Con discapacidad,Ninguna,Hombre,432
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Ninguna,Hombre,"7,509"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Sin discapacidad,Ninguna,Hombre,"2,390"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Ninguna,Hombre,"4,711"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Ninguna,Hombre,"5,038"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Ninguna,Hombre,"8,982"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Ninguna,Hombre,"16,294"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Ninguna,Hombre,"3,535"
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Con discapacidad,Indigena,Hombre,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Con discapacidad,Indigena,Hombre,4
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Con discapacidad,Indigena,Hombre,6
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Indigena,Hombre,23
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Con discapacidad,Indigena,Hombre,16
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Indigena,Hombre,17
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Sin discapacidad,Indigena,Hombre,9
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Indigena,Hombre,89
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Indigena,Hombre,181
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Indigena,Hombre,339
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Indigena,Hombre,510
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Indigena,Hombre,79
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Palenquero,Hombre,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Palenquero,Hombre,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Palenquero,Hombre,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Gitano(a) ROM,Hombre,1
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Gitano(a) ROM,Hombre,8
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Sin discapacidad,Gitano(a) ROM,Hombre,8
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Sin discapacidad,Gitano(a) ROM,Hombre,23
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Sin discapacidad,Gitano(a) ROM,Hombre,27
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Sin discapacidad,Gitano(a) ROM,Hombre,3
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,12
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,14
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,58
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 12 y 17,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,49
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 18 y 28,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,154
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 29 y 60,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,387
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 61 y 100,Con discapacidad,Negro(a) o Afrocolombiano(a),Hombre,201
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,ND,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,335
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 0 y 5,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,443
Víctimas de conflicto armado,76001,VALLE DEL CAUCA,CALI,entre 6 y 11,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,"2,210"
